matrix_key,source_section,orfogrammka_id,title,entry_type,parent_path,depth,source_url,status,executable,rule_ids,requires,eligible_now,reason
orthography_6_1,orthography,6.1,Правописание английских слов,leaf_rule,"[""Правописание иностранных слов""]",2,https://orfogrammka.ru/орфография/правописание_английских_слов/,dictionary_model_required,false,[],"[""dictionary"", ""model""]",false,needs_dictionary
orthography_6_2,orthography,6.2,Правописание латинских слов,leaf_rule,"[""Правописание иностранных слов""]",2,https://orfogrammka.ru/орфография/правописание_латинских_слов/,dictionary_model_required,false,[],"[""dictionary"", ""model""]",false,needs_dictionary
orthography_6_3,orthography,6.3,Правописание иноязычных слов и предложений,leaf_rule,"[""Правописание иностранных слов""]",2,https://orfogrammka.ru/орфография/правописание_иноязычных_слов_и_предложений/,dictionary_model_required,false,[],"[""dictionary"", ""model""]",false,needs_dictionary
orthography_group_opechatki,orthography,,Опечатки,group,[],1,https://orfogrammka.ru/орфография/,metadata_only,false,[],[],false,metadata_only
orthography_7_1,orthography,7.1,"Пропуск, вставка, изменение или перестановка буквы",leaf_rule,"[""Опечатки""]",2,https://orfogrammka.ru/орфография/пропуск_вставка_изменение_или_перестановка_буквы/,model_required,true,"[""swapped_letters_candidate"", ""missing_letter_candidate"", ""extra_letter_candidate""]","[""dictionary"", ""model""]",true,eligible_but_needs_threshold
orthography_7_2,orthography,7.2,Пропуск или вставка пробела,leaf_rule,"[""Опечатки""]",2,https://orfogrammka.ru/орфография/пропуск_или_вставка_пробела/,planned,false,[],[],false,planned
orthography_7_3,orthography,7.3,Некорректная буква,leaf_rule,"[""Опечатки""]",2,https://orfogrammka.ru/орфография/некорректная_буква/,model_required,true,"[""keyboard_typo_candidate""]","[""dictionary"", ""model""]",true,eligible_but_needs_threshold
orthography_7_4,orthography,7.4,Алфавитная опечатка,leaf_rule,"[""Опечатки""]",2,https://orfogrammka.ru/орфография/алфавитная_опечатка/,planned,false,[],[],false,planned
orthography_7_5,orthography,7.5,Межбуквенные пробелы,leaf_rule,"[""Опечатки""]",2,https://orfogrammka.ru/орфография/межбуквенные_пробелы/,planned,false,[],[],false,planned
orthography_7_6,orthography,7.6,Лишние повторяющиеся буквы,leaf_rule,"[""Опечатки""]",2,https://orfogrammka.ru/орфография/лишние_повторяющиеся_буквы/,planned,false,[],[],false,planned
orthography_7_7,orthography,7.7,Ошибочное появление пробелов внутри слов,leaf_rule,"[""Опечатки""]",2,https://orfogrammka.ru/орфография/ошибочное_появление_пробелов_внутри_слов/,planned,false,[],[],false,planned
orthography_7_8,orthography,7.8,Ошибочное склеивание слов,leaf_rule,"[""Опечатки""]",2,https://orfogrammka.ru/орфография/ошибочное_склеивание_слов/,planned,false,[],[],false,planned
orthography_7_9,orthography,7.9,Пропуск точки после инициала,leaf_rule,"[""Опечатки""]",2,https://orfogrammka.ru/орфография/пропуск-точки-после-инициала/,ner_required,false,[],"[""model"", ""ner"", ""syntax""]",false,needs_NER
orthography_group_tipichnye_oshibki,orthography,,Типичные ошибки,group,[],1,https://orfogrammka.ru/орфография/,metadata_only,false,[],[],false,metadata_only
orthography_8_1,orthography,8.1,Орфографические ошибки в словарных словах,leaf_rule,"[""Типичные ошибки""]",2,https://orfogrammka.ru/орфография/орфографические_ошибки_в_словарных_словах/,partial,true,"[""dictionary_fuzzy"", ""frequent_error_exact""]","[""dictionary"", ""model""]",true,eligible_but_needs_more_training
orthography_8_2,orthography,8.2,Слова с неустоявшимся написанием,leaf_rule,"[""Типичные ошибки""]",2,https://orfogrammka.ru/орфография/cлова_с_неустоявшимся_написанием/,planned,false,[],[],false,planned
orthography_8_3,orthography,8.3,Неизвестные термины-неологизмы,leaf_rule,"[""Типичные ошибки""]",2,https://orfogrammka.ru/орфография/неизвестные_термины_неологизмы/,dictionary_model_required,false,[],"[""dictionary"", ""model""]",false,needs_dictionary
orthography_8_4,orthography,8.4,Омофоны,leaf_rule,"[""Типичные ошибки""]",2,https://orfogrammka.ru/орфография/омофоны/,dictionary_model_required,false,[],"[""dictionary"", ""model""]",false,needs_dictionary
punctuation_group_znaki_prepinaniya_v_kontse_v_nachale_v_seredine_predlozheniya,punctuation,,"Знаки препинания в конце, в начале, в середине предложения",group,[],1,https://orfogrammka.ru/пунктуация/,metadata_only,false,[],[],false,metadata_only
punctuation_1_1,punctuation,1.1,Знаки препинания в конце предложения,leaf_rule,"[""Знаки препинания в конце, в начале, в середине предложения""]",2,https://orfogrammka.ru/пунктуация/знаки_препинания_в_конце_предложения/,implemented,true,"[""final_punctuation_default""]","[""model""]",true,eligible_candidate_backed
