row_index,split,source_length_chars,source_length_tokens,total_ms,candidate_generation_ms,dictionary_candidate_ms,punctuation_candidate_ms,syntax_ms,diff_alignment_ms,tokenizer_encode_ms,replacement_encoding_ms,label_build_ms,candidate_count,dictionary_candidate_count,punctuation_candidate_count,keep_candidate_count,rule_ids,slow_reason
730,train,90,15,14.920314002665691,11.470286000985652,6.064749999495689,0.35058199864579365,0.0018799983081407845,1.3113189997966401,0.2013080011238344,1.1148590019729454,0.8150239991664421,16,1,0,15,context_chto_by|keyboard_typo_candidate,dictionary
731,train,125,19,17.222244998265523,13.2179529973655,6.075737011997262,0.48076500024762936,0.002077002136502415,1.6016580011637416,0.2652119983395096,0.9786419977899641,1.152053999248892,16,0,2,19,quote_close|quote_open|tsya_soft_insert,dictionary
732,train,236,29,47.55382599978475,42.46692300148425,29.493306021322496,0.5397220011218451,0.0022759995772503316,2.338927999517182,0.34385500111966394,1.0302800001227297,1.3667159983015154,16,0,4,29,quote_close|quote_open,dictionary
733,train,74,12,5.918743001529947,2.9239570030767936,0.10505600585020147,0.3184320012223907,0.0023740030883345753,1.2867859986727126,0.17786299940780737,0.8740810008021072,0.6491309977718629,16,2,1,12,context_chto_by|double_consonant_candidate|extra_letter_candidate|final_punctuation_default,diff_alignment
734,train,192,24,17.14755799912382,10.91631799863535,0.8443019942205865,0.9878420023596846,0.001978001819225028,2.7771560016844887,0.2986470026371535,0.9652879998611752,2.181642001232831,16,2,9,24,comma_subordinate|extra_letter_candidate|frequent_error_exact|keyboard_typo_candidate|ne_adverb|quote_close|quote_open|subject_predicate_dash,diff_alignment
735,train,145,21,13.290660997881787,9.020661997055868,1.2329689961916301,0.4971859998477157,0.0021759988158009946,1.900503000797471,0.26590400011627935,0.9289830013585743,1.1675839996314608,16,2,0,21,extra_letter_candidate|frequent_error_exact|keyboard_typo_candidate|ne_adjective,diff_alignment
736,train,78,11,8.785226000327384,6.143298000097275,0.6841490030637942,0.2741150019573979,0.0018800019461195916,1.023059001454385,0.21614700017380528,0.8068139977694955,0.5897779992665164,13,1,0,11,extra_letter_candidate|frequent_error_exact,diff_alignment
737,train,54,7,4.7924089994921815,2.8710340011457447,0.38876600228832103,0.2490879996912554,0.001681997673586011,0.7016589988779742,0.14551499771187082,0.6783130011172034,0.3897559981851373,10,1,0,7,extra_letter_candidate|frequent_error_exact|ne_adverb,diff_alignment
738,train,120,17,12.463865998142865,8.672750998812262,0.8377759913855698,0.40231900129583664,0.001682001311564818,1.6393469995819032,0.2224770032626111,1.0155400013900362,0.9068240033229813,16,1,0,17,extra_letter_candidate|frequent_error_exact|n_nn_short_form|tsya_soft_delete,diff_alignment
739,train,125,17,13.134560998878442,9.010473000671482,0.819673001387855,0.4602879998856224,0.001682001311564818,1.5752449980936944,0.2144639984180685,1.3122100026521366,1.0156390017073136,16,1,0,17,extra_letter_candidate|frequent_error_exact,diff_alignment
740,train,254,37,53.18748699937714,47.54591500022798,27.88484299162519,0.5706049996661022,0.002076998498523608,3.1558289992972277,0.32367500170948915,0.958161002927227,1.1960940028075129,16,3,0,37,dictionary_fuzzy|extra_letter_candidate|frequent_error_exact,dictionary
741,train,151,22,39.235537999047665,34.683458998188144,26.952706997690257,0.5889979984203819,0.0025709996407385916,1.8369110002822708,0.2881699983845465,1.0706989996833727,1.3489800003299024,16,2,2,22,dictionary_fuzzy|extra_letter_candidate|quote_close|quote_open,dictionary
742,train,82,14,9.938903000147548,6.581631998415105,0.8942779968492687,0.34552700162748806,0.001976997737074271,1.2892500017187558,0.24554799892939627,1.0107710004376713,0.8048780000535771,16,1,1,14,extra_letter_candidate|final_punctuation_default|frequent_error_exact,diff_alignment
743,train,132,18,64.14158500047051,60.06557000000612,50.52688300202135,0.466670000605518,0.0018790015019476414,1.6049120022216812,0.24574599956395105,1.0278800000378396,1.189270999020664,16,2,0,18,context_chto_by|dictionary_fuzzy|extra_letter_candidate,dictionary
744,train,208,37,12.169401998107787,6.82747600149014,0.2739289993769489,0.5682310002157465,0.0021750020096078515,2.764217999356333,0.3118050008197315,0.9258230020350311,1.3321689984877594,16,4,3,37,comma_conjunction|comma_subordinate|dictionary_fuzzy|introductory_comma|keyboard_typo_candidate|missing_letter_candidate,diff_alignment
