row_index,split,source_length_chars,source_length_tokens,total_ms,candidate_generation_ms,dictionary_candidate_ms,punctuation_candidate_ms,syntax_ms,diff_alignment_ms,tokenizer_encode_ms,replacement_encoding_ms,label_build_ms,candidate_count,dictionary_candidate_count,punctuation_candidate_count,keep_candidate_count,rule_ids,slow_reason
79,test,30,5,7.640399999218062,4.945299995597452,1.7002000022330321,0.2507999961380847,0.0013999961083754897,0.808000004326459,0.26889999571722,1.1196999985259026,0.4920000064885244,8,2,1,5,final_punctuation_default|keyboard_typo_candidate|missing_letter_candidate,dictionary
80,test,51,7,62.566200002038386,58.760300002177246,52.89829998946516,0.32639999699313194,0.0010000003385357559,1.2765999999828637,0.25549999554641545,1.5531999961240217,0.712699991709087,11,2,1,7,capitalization_sentence_start|dictionary_fuzzy|extra_letter_candidate|final_punctuation_default,dictionary
81,test,44,6,52.97430000064196,49.68669999652775,44.09329999180045,0.2997999981744215,0.0012999953469261527,1.0467999964021146,0.26559999969322234,1.3438999958452769,0.6231999941519462,9,2,0,6,capitalization_sentence_start|extra_letter_candidate|swapped_letters_candidate,dictionary
82,test,29,5,51.729300001170486,48.88760000176262,43.6800000097719,0.2564999958849512,0.0013000026228837669,0.8637000064481981,0.25239999376935884,1.193500000226777,0.5240000027697533,8,2,0,5,capitalization_sentence_start|dictionary_fuzzy|missing_letter_candidate,dictionary
83,test,57,8,15.688899999076966,11.139800000819378,2.4638999821036123,0.31709999893791974,0.001400003384333104,1.3545000037993304,0.2902999985963106,2.1301999950082973,0.763700001698453,10,1,1,8,final_punctuation_default|missing_letter_candidate,dictionary
84,test,47,8,65.16739999642596,61.390999995637685,56.2076999922283,0.3107999946223572,0.0010999938240274787,1.2520000018412247,0.265800001216121,1.5339999954449013,0.7167000076151453,11,2,0,8,capitalization_sentence_start|dictionary_fuzzy|missing_letter_candidate,dictionary
85,test,62,8,60.64670000341721,56.40019999555079,49.650600005406886,0.3434999962337315,0.0013999961083754897,1.493899995693937,0.3345000004628673,1.44680000084918,0.9628999978303909,10,2,0,8,dictionary_fuzzy|missing_letter_candidate,dictionary
86,test,39,7,23.975600000994746,20.101599999179598,13.855500001227483,0.3097000007983297,0.001500004145782441,1.3834000055794604,0.28450000536395237,1.443299996026326,0.7551999951829202,10,2,0,7,extra_letter_candidate|frequent_error_exact|keyboard_typo_candidate,dictionary
87,test,91,14,116.625099995872,110.49820000334876,98.84250001050532,0.4613999990397133,0.0012999953469261527,2.1593999990727752,0.3580000047804788,2.229799996712245,1.3713999942410737,16,4,0,14,dictionary_fuzzy|keyboard_typo_candidate|missing_letter_candidate,dictionary
88,test,35,5,50.56970000441652,47.742999995534774,43.735600003856234,0.3223000021534972,0.001400003384333104,0.8634999976493418,0.26649999927030876,1.1305000007268973,0.5594000031123869,8,1,2,5,apposition_comma|dictionary_fuzzy|final_punctuation_default,dictionary
89,test,42,6,8.820499999274034,5.901999997149687,2.8141000075265765,0.24169999960577115,0.0011000010999850929,1.002899996819906,0.24539999867556617,1.0697000034269877,0.5938999966019765,8,1,1,6,missing_letter_candidate|punctuation_delete_replace,dictionary
90,test,79,11,95.88549999898532,90.55970000190428,80.39599999028724,0.4033999939565547,0.0010000003385357559,1.8483999956515618,0.4121000019949861,1.810599998862017,1.2471000009099953,13,2,0,11,dictionary_fuzzy|missing_letter_candidate,dictionary
91,test,60,7,36.436299997149035,32.70879999763565,26.62979999149684,0.3121999980066903,0.0012000018614344299,1.2200999990454875,0.29779999749735,1.413599995430559,0.7882999925641343,10,2,0,7,capitalization_sentence_start|keyboard_typo_candidate|missing_letter_candidate,dictionary
92,test,69,10,11.696900000970345,7.055699999909848,0.7689999911235645,0.33239999902434647,0.0011999945854768157,1.9299000050523318,0.302400003420189,1.539600001706276,0.8631000018795021,12,0,0,10,capitalization_sentence_start|n_nn_participle,diff_alignment
93,test,64,11,40.76519999944139,36.143400000582915,30.993399996077642,0.3859999997075647,0.0012000018614344299,1.6489999979967251,0.35849999403581023,1.6363999966415577,0.97079999250127,12,1,0,11,dictionary_fuzzy,dictionary
94,test,32,6,22.179700004926417,19.274199999927077,13.543599998229183,0.24890000349842012,0.0013999961083754897,0.9369999970658682,0.24030000349739566,1.1757000029319897,0.5457000006572343,9,2,0,6,capitalization_sentence_start|missing_letter_candidate,dictionary
95,test,29,6,52.895300003001466,49.78269999992335,43.997299995680805,0.28450000536395237,0.0011000010999850929,0.9591999987605959,0.33879999682540074,1.2489000000641681,0.5582000012509525,9,2,1,6,dictionary_fuzzy|final_punctuation_default|keyboard_typo_candidate,dictionary
96,test,49,8,48.56880000443198,44.8300999996718,41.34419999900274,0.2941999991890043,0.0011999945854768157,1.2130999966757372,0.26950000028591603,1.483899999584537,0.7650999978068285,11,2,0,8,capitalization_sentence_start|double_consonant_candidate|missing_letter_candidate,dictionary
97,test,102,19,30.513799996697344,23.888100004114676,12.052400001266506,0.5948999969405122,0.0010000003385357559,2.732300003117416,0.3447999988566153,1.9691999987117015,1.5723999968031421,16,2,1,19,final_punctuation_default|keyboard_typo_candidate,dictionary
98,test,52,8,26.780799998959992,23.107000000891276,17.924000007042196,0.32310000096913427,0.0011000010999850929,1.3107999984640628,0.29180000274209306,1.332400002866052,0.7317999989027157,10,2,0,8,dictionary_fuzzy|missing_letter_candidate,dictionary
