pass_index,rule_id,threshold_key,current_threshold,candidate_threshold,exact_match,dirty_improved_rate,dirty_worse_rate,clean_overcorrection_rate,edit_precision,edit_recall,edit_f1,spelling_precision,spelling_recall,spelling_f1,punctuation_precision,punctuation_recall,punctuation_f1,clean_exact_match,clean_dirty_improved_rate,clean_dirty_worse_rate,clean_clean_overcorrection_rate,clean_edit_precision,clean_edit_recall,clean_edit_f1,clean_spelling_precision,clean_spelling_recall,clean_spelling_f1,clean_punctuation_precision,clean_punctuation_recall,clean_punctuation_f1,synthetic_exact_match,synthetic_dirty_improved_rate,synthetic_dirty_worse_rate,synthetic_clean_overcorrection_rate,synthetic_edit_precision,synthetic_edit_recall,synthetic_edit_f1,synthetic_spelling_precision,synthetic_spelling_recall,synthetic_spelling_f1,synthetic_punctuation_precision,synthetic_punctuation_recall,synthetic_punctuation_f1,real_exact_match,real_dirty_improved_rate,real_dirty_worse_rate,real_clean_overcorrection_rate,real_edit_precision,real_edit_recall,real_edit_f1,real_spelling_precision,real_spelling_recall,real_spelling_f1,real_punctuation_precision,real_punctuation_recall,real_punctuation_f1,clean_false_positives,synthetic_true_positives,real_true_positives,passes_safety_caps
1,hyphen_particles,hyphen_particles_threshold,0.5,0.53,0.234,0.17780580075662042,0.7187894073139974,0.004830917874396135,0.20445062586926285,0.1664779161947905,0.18352059925093633,1.0,0.24579124579124578,0.3945945945945946,0.0,0.0,0.0,0.9951690821256038,0.0,0.0,0.004830917874396135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03506493506493506,0.18051948051948052,0.7389610389610389,0.0,0.2030812324929972,0.17427884615384615,0.18758085381630013,1.0,0.2508650519031142,0.40110650069156295,0.0,0.0,0.0,0.043478260869565216,0.08695652173913043,0.043478260869565216,0.0,0.6666666666666666,0.0392156862745098,0.07407407407407407,1.0,0.0625,0.11764705882352941,0.0,0.0,0.0,0,7,1,False
1,hyphen_particles,hyphen_particles_threshold,0.5,0.56,0.234,0.17780580075662042,0.7187894073139974,0.004830917874396135,0.20445062586926285,0.1664779161947905,0.18352059925093633,1.0,0.24579124579124578,0.3945945945945946,0.0,0.0,0.0,0.9951690821256038,0.0,0.0,0.004830917874396135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03506493506493506,0.18051948051948052,0.7389610389610389,0.0,0.2030812324929972,0.17427884615384615,0.18758085381630013,1.0,0.2508650519031142,0.40110650069156295,0.0,0.0,0.0,0.043478260869565216,0.08695652173913043,0.043478260869565216,0.0,0.6666666666666666,0.0392156862745098,0.07407407407407407,1.0,0.0625,0.11764705882352941,0.0,0.0,0.0,0,7,1,False
1,hyphen_particles,hyphen_particles_threshold,0.5,0.6,0.23,0.17276166456494324,0.7187894073139974,0.004830917874396135,0.19887955182072828,0.16081540203850508,0.17783343769567939,1.0,0.23737373737373738,0.3836734693877551,0.0,0.0,0.0,0.9951690821256038,0.0,0.0,0.004830917874396135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02987012987012987,0.17532467532467533,0.7389610389610389,0.0,0.19746121297602257,0.16826923076923078,0.18170019467878004,1.0,0.2422145328719723,0.38997214484679665,0.0,0.0,0.0,0.043478260869565216,0.08695652173913043,0.043478260869565216,0.0,0.6666666666666666,0.0392156862745098,0.07407407407407407,1.0,0.0625,0.11764705882352941,0.0,0.0,0.0,0,3,1,False
1,hyphen_koe_koy,hyphen_koe_koy_threshold,0.45,0.45,0.235,0.17906683480453972,0.7187894073139974,0.004830917874396135,0.20555555555555555,0.16761041902604756,0.1846537741734248,1.0,0.2474747474747475,0.3967611336032389,0.0,0.0,0.0,0.9951690821256038,0.0,0.0,0.004830917874396135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03636363636363636,0.18181818181818182,0.7389610389610389,0.0,0.2041958041958042,0.17548076923076922,0.18875242404654166,1.0,0.25259515570934254,0.4033149171270718,0.0,0.0,0.0,0.043478260869565216,0.08695652173913043,0.043478260869565216,0.0,0.6666666666666666,0.0392156862745098,0.07407407407407407,1.0,0.0625,0.11764705882352941,0.0,0.0,0.0,0,13,0,False
1,hyphen_koe_koy,hyphen_koe_koy_threshold,0.45,0.48,0.235,0.17906683480453972,0.7187894073139974,0.004830917874396135,0.20555555555555555,0.16761041902604756,0.1846537741734248,1.0,0.2474747474747475,0.3967611336032389,0.0,0.0,0.0,0.9951690821256038,0.0,0.0,0.004830917874396135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03636363636363636,0.18181818181818182,0.7389610389610389,0.0,0.2041958041958042,0.17548076923076922,0.18875242404654166,1.0,0.25259515570934254,0.4033149171270718,0.0,0.0,0.0,0.043478260869565216,0.08695652173913043,0.043478260869565216,0.0,0.6666666666666666,0.0392156862745098,0.07407407407407407,1.0,0.0625,0.11764705882352941,0.0,0.0,0.0,0,13,0,False
1,hyphen_koe_koy,hyphen_koe_koy_threshold,0.45,0.5,0.235,0.17906683480453972,0.7187894073139974,0.004830917874396135,0.20555555555555555,0.16761041902604756,0.1846537741734248,1.0,0.2474747474747475,0.3967611336032389,0.0,0.0,0.0,0.9951690821256038,0.0,0.0,0.004830917874396135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03636363636363636,0.18181818181818182,0.7389610389610389,0.0,0.2041958041958042,0.17548076923076922,0.18875242404654166,1.0,0.25259515570934254,0.4033149171270718,0.0,0.0,0.0,0.043478260869565216,0.08695652173913043,0.043478260869565216,0.0,0.6666666666666666,0.0392156862745098,0.07407407407407407,1.0,0.0625,0.11764705882352941,0.0,0.0,0.0,0,13,0,False
1,hyphen_koe_koy,hyphen_koe_koy_threshold,0.45,0.55,0.226,0.1664564943253468,0.7187894073139974,0.004830917874396135,0.19322990126939352,0.1551528878822197,0.1721105527638191,1.0,0.22895622895622897,0.3726027397260274,0.0,0.0,0.0,0.9951690821256038,0.0,0.0,0.004830917874396135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024675324675324677,0.16883116883116883,0.7389610389610389,0.0,0.19176136363636365,0.1622596153846154,0.17578125,1.0,0.23356401384083045,0.3786816269284713,0.0,0.0,0.0,0.043478260869565216,0.08695652173913043,0.043478260869565216,0.0,0.6666666666666666,0.0392156862745098,0.07407407407407407,1.0,0.0625,0.11764705882352941,0.0,0.0,0.0,0,3,0,False
1,context_to_zhe,context_to_zhe_threshold,0.95,0.8,0.235,0.17906683480453972,0.7187894073139974,0.004830917874396135,0.20555555555555555,0.16761041902604756,0.1846537741734248,1.0,0.2474747474747475,0.3967611336032389,0.0,0.0,0.0,0.9951690821256038,0.0,0.0,0.004830917874396135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03636363636363636,0.18181818181818182,0.7389610389610389,0.0,0.2041958041958042,0.17548076923076922,0.18875242404654166,1.0,0.25259515570934254,0.4033149171270718,0.0,0.0,0.0,0.043478260869565216,0.08695652173913043,0.043478260869565216,0.0,0.6666666666666666,0.0392156862745098,0.07407407407407407,1.0,0.0625,0.11764705882352941,0.0,0.0,0.0,0,0,0,False
1,context_to_zhe,context_to_zhe_threshold,0.95,0.82,0.235,0.17906683480453972,0.7187894073139974,0.004830917874396135,0.20555555555555555,0.16761041902604756,0.1846537741734248,1.0,0.2474747474747475,0.3967611336032389,0.0,0.0,0.0,0.9951690821256038,0.0,0.0,0.004830917874396135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03636363636363636,0.18181818181818182,0.7389610389610389,0.0,0.2041958041958042,0.17548076923076922,0.18875242404654166,1.0,0.25259515570934254,0.4033149171270718,0.0,0.0,0.0,0.043478260869565216,0.08695652173913043,0.043478260869565216,0.0,0.6666666666666666,0.0392156862745098,0.07407407407407407,1.0,0.0625,0.11764705882352941,0.0,0.0,0.0,0,0,0,False
1,context_to_zhe,context_to_zhe_threshold,0.95,0.84,0.235,0.17906683480453972,0.7187894073139974,0.004830917874396135,0.20555555555555555,0.16761041902604756,0.1846537741734248,1.0,0.2474747474747475,0.3967611336032389,0.0,0.0,0.0,0.9951690821256038,0.0,0.0,0.004830917874396135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03636363636363636,0.18181818181818182,0.7389610389610389,0.0,0.2041958041958042,0.17548076923076922,0.18875242404654166,1.0,0.25259515570934254,0.4033149171270718,0.0,0.0,0.0,0.043478260869565216,0.08695652173913043,0.043478260869565216,0.0,0.6666666666666666,0.0392156862745098,0.07407407407407407,1.0,0.0625,0.11764705882352941,0.0,0.0,0.0,0,0,0,False
