rule_id,activation_stage,production_ready,atomic_positive_count,hard_negative_count,candidate_recall,gold_count,ready_for_full_build,main_blocker,top_rejection_reason,recommended_next_action,corpus_mined_positive_count,syntax_mined_positive_count,morphology_mined_positive_count,real_pattern_replay_positive_count,rule_lab_positive_count,corpus_mined_share,rule_lab_share,corpus_mined_hard_negative_count,rule_lab_hard_negative_count,unique_source_count,unique_target_count,unique_left_context_count,unique_right_context_count,unique_sentence_pattern_count,dominant_template_share,dominant_source_type_share,near_duplicate_count,structural_diversity_status,structural_diversity_reason
ne_verb,threshold_calibration,False,0,0,0.0,0,False,pattern_replay_unsafe,pattern_replay_unsafe,inspect_rule_data_compiler_rejections,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,empty,no_atomic_positive_rows
ni_particle_context,threshold_calibration,False,0,0,0.0,0,False,opportunities_seen_0,,add_rule_specific_miner_or_templates,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,empty,
ni_stable_expression,threshold_calibration,False,0,0,0.0,0,False,opportunities_seen_0,,add_rule_specific_miner_or_templates,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,empty,
pattern_жо_же,threshold_calibration,False,0,0,0.0,0,False,pattern_replay_unsafe,pattern_replay_unsafe,inspect_rule_data_compiler_rejections,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,empty,
pattern_жы_жи,threshold_calibration,False,0,0,0.0,0,False,pattern_replay_unsafe,pattern_replay_unsafe,inspect_rule_data_compiler_rejections,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,empty,
pattern_цы_ци,threshold_calibration,False,0,0,0.0,0,False,opportunities_seen_0,,add_rule_specific_miner_or_templates,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,empty,
pattern_чо_че,threshold_calibration,False,0,0,0.0,0,False,opportunities_seen_0,,add_rule_specific_miner_or_templates,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,empty,
pattern_чю_чу,threshold_calibration,False,0,0,0.0,0,False,opportunities_seen_0,,add_rule_specific_miner_or_templates,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,empty,
pattern_чя_ча,threshold_calibration,False,0,0,0.0,0,False,pattern_replay_unsafe,pattern_replay_unsafe,inspect_rule_data_compiler_rejections,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,empty,
pattern_шо_ше,threshold_calibration,False,0,0,0.0,0,False,pattern_replay_unsafe,pattern_replay_unsafe,inspect_rule_data_compiler_rejections,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,empty,
pattern_шы_ши,threshold_calibration,False,0,0,0.0,0,False,opportunities_seen_0,,add_rule_specific_miner_or_templates,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,empty,
pattern_що_ще,threshold_calibration,False,0,0,0.0,0,False,opportunities_seen_0,,add_rule_specific_miner_or_templates,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,empty,
pattern_щю_щу,threshold_calibration,False,0,0,0.0,0,False,opportunities_seen_0,,add_rule_specific_miner_or_templates,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,empty,
pattern_щя_ща,threshold_calibration,False,0,0,0.0,0,False,pattern_replay_unsafe,pattern_replay_unsafe,inspect_rule_data_compiler_rejections,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,empty,
